team,player,degree_centrality,betweenness_centrality,eigenvector_centrality
Barcelona,Abidal,1.4000000000000001,0.011111111111111112,0.15418499624720652
Barcelona,Busquets,1.9000000000000001,0.0,0.2790105290117365
Barcelona,Iniesta,1.9000000000000001,0.1,0.47875798260858604
Barcelona,Messi,1.8,0.08888888888888889,0.4817056532322506
Barcelona,Pedro,1.4000000000000001,0.0,0.1658340911291514
Barcelona,Piqué,1.8,0.0,0.1084142271053147
Barcelona,Valdés,1.2000000000000002,0.0,0.03155590379206623
Barcelona,Xavi,2.0,0.5777777777777778,0.5105548166125332
Barcelona,Dani Alves,1.5,0.0,0.2911571145127927
Barcelona,Mascherano,1.8,0.18888888888888888,0.16773793410922178
Barcelona,Villa,1.5,0.0,0.15266140063872138
Manchester United,Carrick,1.7000000000000002,0.12222222222222223,0.31419728521677237
Manchester United,Chicharito,1.0,0.0,0.1955410547360856
Manchester United,Evra,1.4000000000000001,0.022222222222222223,0.2414348860344938
Manchester United,Ferdinand,1.6,0.2888888888888889,0.30565108138822505
Manchester United,Fábio,1.0,0.0,0.20074398758675352
Manchester United,Giggs,1.8,0.13333333333333333,0.418433097988747
Manchester United,Rooney,1.9000000000000001,0.23333333333333334,0.4844972129194171
Manchester United,Valencia,1.4000000000000001,0.11111111111111112,0.27227013243412024
Manchester United,Van der Sar,1.2000000000000002,0.0,0.1894667394060499
Manchester United,Vidić,1.5,0.06666666666666667,0.22531275681297788
Manchester United,Park,1.5,0.011111111111111112,0.31688153940540204
